Match_ID,Team1,Team2,Team1_FIFA_Rank,Team2_FIFA_Rank,Team1_Avg_Goals,Team2_Avg_Goals,Team1_Avg_Conceded,Team2_Avg_Conceded,Team1_Goals,Team2_Goals,Result
1,Brazil,Serbia,1,21,2.3,1.4,0.7,1.5,2,0,Team1_Win
2,Brazil,Switzerland,1,15,2.3,1.8,0.7,0.9,1,0,Team1_Win
3,Brazil,Cameroon,1,43,2.3,1.1,0.7,2.0,0,1,Team2_Win
4,Argentina,Saudi Arabia,2,52,2.1,1.0,0.6,2.3,1,2,Team2_Win
5,Argentina,Mexico,2,16,2.1,1.5,0.6,1.3,2,0,Team1_Win
6,Argentina,Poland,2,26,2.1,1.3,0.6,1.6,2,0,Team1_Win
7,France,Australia,3,27,1.9,1.1,0.8,2.0,4,1,Team1_Win
8,France,Denmark,3,11,1.9,1.7,0.8,1.0,2,1,Team1_Win
9,France,Tunisia,3,30,1.9,1.2,0.8,1.8,0,1,Team2_Win
10,England,Iran,4,25,1.8,1.2,0.8,1.7,6,2,Team1_Win
11,England,USA,4,13,1.8,1.4,0.8,1.2,0,0,Draw
12,England,Wales,4,19,1.8,1.3,0.8,1.4,3,0,Team1_Win
13,Spain,Costa Rica,5,55,2.0,0.9,0.6,2.2,7,0,Team1_Win
14,Spain,Germany,5,9,2.0,1.7,0.6,1.0,1,1,Draw
15,Spain,Japan,5,20,2.0,1.5,0.6,1.3,1,2,Team2_Win
16,Portugal,Ghana,6,61,1.8,1.0,0.7,2.1,3,2,Team1_Win
17,Portugal,Uruguay,6,14,1.8,1.5,0.7,1.2,2,0,Team1_Win
18,Portugal,South Korea,6,23,1.8,1.3,0.7,1.4,1,2,Team2_Win
19,Belgium,Canada,7,41,1.7,1.1,0.8,1.8,1,0,Team1_Win
20,Belgium,Morocco,7,22,1.7,1.4,0.8,1.5,0,2,Team2_Win
21,Belgium,Croatia,7,12,1.7,1.6,0.8,1.1,0,0,Draw
22,Netherlands,Senegal,8,18,1.8,1.3,0.7,1.6,2,0,Team1_Win
23,Netherlands,Ecuador,8,44,1.8,1.2,0.7,1.9,1,1,Draw
24,Netherlands,Qatar,8,48,1.8,0.9,0.7,2.1,2,0,Team1_Win
25,Germany,Japan,9,20,1.7,1.5,0.9,1.3,1,2,Team2_Win
26,Germany,Costa Rica,9,55,1.7,0.9,0.9,2.2,4,2,Team1_Win
27,Switzerland,Cameroon,15,43,1.8,1.1,0.9,2.0,1,0,Team1_Win
28,Switzerland,Serbia,15,21,1.8,1.4,0.9,1.5,3,3,Draw
29,USA,Wales,13,19,1.4,1.3,1.1,1.4,1,1,Draw
30,USA,Iran,13,25,1.4,1.2,1.1,1.7,1,0,Team1_Win
31,Denmark,Tunisia,11,30,1.7,1.2,0.9,1.8,0,0,Draw
32,Croatia,Canada,12,41,1.6,1.1,0.8,1.8,4,1,Team1_Win
33,Croatia,Morocco,12,22,1.6,1.4,0.8,1.5,0,0,Draw
34,Morocco,Belgium,22,7,1.4,1.7,1.3,0.8,2,0,Team1_Win
35,Japan,Germany,20,9,1.5,1.7,1.2,0.9,2,1,Team1_Win
36,South Korea,Portugal,23,6,1.3,1.8,1.4,0.7,2,1,Team1_Win
37,France,Poland,3,26,1.9,1.3,0.8,1.6,3,1,Team1_Win
38,France,England,3,4,1.9,1.8,0.8,0.8,2,1,Team1_Win
39,France,Morocco,3,22,1.9,1.4,0.8,1.5,2,0,Team1_Win
40,Argentina,Australia,2,27,2.1,1.1,0.6,2.0,2,1,Team1_Win
41,Argentina,Netherlands,2,8,2.1,1.8,0.6,0.7,2,2,Draw
42,Argentina,Croatia,2,12,2.1,1.6,0.6,0.8,3,0,Team1_Win
43,Argentina,France,2,3,2.1,1.9,0.6,0.8,3,3,Draw
44,Brazil,South Korea,1,23,2.3,1.3,0.7,1.4,4,1,Team1_Win
45,Brazil,Croatia,1,12,2.3,1.6,0.7,0.8,1,1,Draw
46,Netherlands,USA,8,13,1.8,1.4,0.7,1.2,3,1,Team1_Win
47,Netherlands,Argentina,8,2,1.8,2.1,0.7,0.6,2,2,Draw
48,Croatia,Japan,12,20,1.6,1.5,0.8,1.3,1,1,Draw
